FECHA;HORA;ESTACION;VIA;DISPOSITIVOT;DISPOSITIVON;DOMINIO;CATEGORIA;TARIFA;BONIFICACION;TIPO_DE_DOCUMENTO;DOCUMENTO_LEGAL;DOCUMENTO_SA;CLIENTE_WEB;CLIENTE_RED;SUB_CUENTA
2026-06-29;212122;0001;13;SI90;97134694;AH272KN;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-30;45518;0001;13;SI90;94911721;AE831SI;6;18829.29;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-16;53054;0001;14;SI90;97134694;AH272KN;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-16;133701;0001;14;SI90;93458913;AH251LE;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-18;72221;0001;14;SI90;97196290;AD255OC;2;4707.32;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-19;134331;0001;14;SI90;94904121;AD667DM;6;18829.29;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-19;192110;0001;14;SI90;93458913;AH251LE;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-20;93321;0001;14;SI90;97134694;AH272KN;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;73714;0001;14;SI90;99594918;AA946VU;2;4707.32;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;191741;0001;14;SI90;97190264;AH554RP;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;204305;0001;14;SI90;94530188;AD736OU;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;204321;0001;14;SI90;94904121;AD667DM;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-24;130802;0001;14;SI90;93458913;AH251LE;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-25;171246;0001;14;SI90;94797663;AE469PL;6;18829.29;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-25;174021;0001;14;SI90;94579785;AD482MT;6;18829.29;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-26;143527;0001;14;SI90;94530188;AD736OU;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-28;105657;0001;14;SI90;97191590;AH351RS;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-29;84513;0001;14;SI90;93458913;AH251LE;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-29;102143;0001;14;SI90;97196290;AD255OC;2;4707.32;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-29;122257;0001;14;SI90;99598699;AF734UP;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-16;184408;0001;23;SI90;99598699;AF734UP;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-17;95405;0001;23;SI90;94959737;AF091AI;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-16;151649;0001;24;SI90;92093802;AD985XP;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-18;83803;0001;24;SI90;97162615;AH554RQ;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-18;132609;0001;24;SI90;97196290;AD255OC;2;4707.32;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-18;215059;0001;24;SI90;99567025;AE284KH;6;18829.29;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-19;113342;0001;24;SI90;97134694;AH272KN;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-20;165237;0001;24;SI90;99598699;AF734UP;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
